"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Kintzler, Brandon",445213,"R",,"92.3",,"96.6",,,"17.7",,
"Clay, Sam",621348,"L",,"90.9",,"88.6",,,"33.2",,
"Suero, Wander",593833,"R",,,"60","69.4",,"71.2",,,
"Bummer, Aaron",607481,"L",,"83.1","16.5",,,,,"82.1",
"Poppen, Sean",664092,"R",,"94.7",,"96.7",,,"61.2",,
"Crichton, Stefan",592233,"R",,"96.8",,"94.1",,"76.9",,,
"Dobnak, Randy",677976,"R",,"88",,"97.1",,,"20.4",,
"Peacock, Matt",676840,"R",,"94.3",,"97.9",,,"11",,
"de Geus, Brett",676969,"R",,"85.2","27.5",,,"78.7",,,
"Tyler, Kyle",667725,"R",,,"82.8",,,,"25.7",,
"Barnes, Charlie",656212,"L",,"97.8",,"99.2",,"61.1","21.9",,
"Jansen, Kenley",445276,"R",,"93.8","78.4",,,,"48.1",,
"Alexander, Scott",518397,"L",,"78.8",,"92",,,"31.4",,
"Rogers, Taylor",573124,"L",,"94.4",,,,,,"43.1",
"Greene, Shane",572888,"R",,"89.2","42.3","90",,,,"51.4",
"González, Victor",624647,"L",,"99.3",,,,,"15.9",,
"Petricka, Jake",502593,"R",,"94.6",,"71.7",,,"17.5",,
"Singer, Brady",663903,"R",,"83.8",,"97.2",,,"26",,
"Emanuel, Kent",592288,"L",,"89.8",,"85.9",,,,"50",
"McCullers Jr., Lance",621121,"R",,"75.1","26.7","94.1",,"70.3",,"43.2",
"Lawrence, Justin",664875,"R",,"84.9",,,,,,"65.2",
"Bruihl, Justin",677865,"L",,"70.2","36.7",,,,,"53.8",
"Osich, Josh",592612,"L",,"78.5","30.1","96.5",,,"36.3",,
"Scrubb, Andre",668687,"R",,,"68.8",,,"88.7","34",,
"Wood, Alex",622072,"L",,"99.1",,"94.4",,,"25.9",,
"Doval, Camilo",666808,"R",,,"66.2",,,,"45.3",,
"Elledge, Seth",676220,"R",,"96.9",,,,,"56.1",,
"Kolarek, Adam",592473,"L",,"93.6",,"98.4",,,"43",,
"Valdez, Phillips",570488,"R",,"96.4",,"87",,,"37.7",,
"Moll, Sam",594580,"L",,"75.7",,,,,,"39.9",
"Shaw, Bryan",543766,"R",,"64.7","43.6","77.6",,"89.2",,"52.3",
"Hicks, Jordan",663855,"R",,"92.7","26.2",,,,,"39",
"Fleming, Josh",676596,"L",,"92.2","47.2","82.4",,"61.2",,,
"Clase, Emmanuel",661403,"R",,,"58.9",,,,"33.2",,
"Sherriff, Ryan",595411,"L",,"93",,,,,"28.9",,
"Robertson, David",502085,"R",,,"74.8",,,"61.5","56.3",,
"King, John",667463,"L",,"83.3","54.6","94.4",,,"36.9","43.1",
