"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Walker, Ryan",676254,"R",,"82.8",,,,,"57.9",,
"Backhus, Kyle",679775,"L",,"96.3",,"91.7",,,,"45.5",
"Pop, Zach",647315,"R",,"90.9","87",,,,"36",,
"Sánchez, Cristopher",650911,"L",,"91.5",,"83.7",,,"32.5",,
"Jansen, Kenley",445276,"R",,"98","81.5",,,,"40.9",,
"Rogers, Taylor",573124,"L",,"90.1","41.1",,,,,"65.4",
"Woodford, Jake",663765,"R",,"79.8","46.5","84.2",,,,"54.2",
"Garcia, Brandyn",805299,"L",,"75.5",,,,,"34.6","57.3",
"García, Luis",472610,"R",,"86.1",,,"81.9",,,"50.5",
"Raley, Brooks",548384,"L",,"70.4","34.9","81.9",,,,"55",
"Dodd, Dylan",689266,"L",,"94.2","55.9",,,,"17.9",,
"Doval, Camilo",666808,"R",,"59.9","59.1","81.5",,,"44",,
"Gibson, Cade",806188,"L",,"71.7",,"74.7",,"87.2","23.1","60.8",
"Ashcraft, Graham",668933,"R",,,"59.6",,,,"31.2",,
"Blackburn, Paul",621112,"R",,"89.3","55.5","85.7",,"91.2",,"51.9",
"Uribe, Abner",682842,"R",,"71.1",,,,,"38.4",,
"Bender, Anthony",669622,"R",,"78.9",,,,,"42.9","63.1",
"King, John",667463,"L",,"68.8",,"78.1",,"70.4","33.6","43.4",
"Holmes, Clay",605280,"R",,"75.6","16.3","71.6",,"72.4",,"52.6",
"Bachman, Sam",696147,"R",,"93.4",,"81.1",,,"21.1",,
"Johnson, Ryan",696270,"R",,"78.7","49.6",,"59.2",,,"53.4",
"Ferrer, José A.",678606,"L",,"98.2",,"94.9",,,"17",,
"O'Brien, Riley",676617,"R",,"80.6",,,,,"23","67.6",
"Whitlock, Garrett",676477,"R",,"99.5",,"88.6",,,"25.7",,
"Mey, Luis",682825,"R",,"71.7",,,,,"35.8",,
"Bazardo, Eduard",660825,"R",,"88.8",,,,,,"57.9",
"Guerrero, Tyron",594027,"R",,"99.1",,,,,"35",,
"Fluharty, Mason",689254,"L",,,"46.6","58.9",,,,"52.1",
"Svanson, Matt",694335,"R",,"83.2","32",,,,,"36.9",
"Matz, Steven",571927,"L",,"99.6",,"83.8",,"80.2","42.5",,
"Nance, Tommy",667297,"R",,"87.1",,,,"75.9","12.4",,
"Maton, Phil",664208,"R",,"68.5","54.5",,,"93.4",,"48.5",
"McDonald, Trevor",686790,"R",,"84.1","38.7","78.1",,,"41.4",,
