"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Whitlock, Garrett",676477,"R",,"99",,"85.3",,,"23",,
"Burgos, Raymond",670103,"L",,"75","38","78.4",,,,"47.1",
"Guerrero, Tyron",594027,"R",,"98.8",,,"79.2",,"36.5",,
"Bender, Anthony",669622,"R",,"79.3",,"83.4",,,"42.6","63.6",
"Topa, Justin",623437,"R",,"88.7","53.2","84",,,,"49.4",
"De León, Luis",801725,"L",,"94",,,"68.9",,"18.7",,
"Maton, Phil",664208,"R",,"68.7","54.8",,,"93.5",,"48.5",
"Woodford, Jake",663765,"R",,"79.7","48.2",,"84.7",,,"55.4",
"Johnson, Ryan",696270,"R",,"80.5","48.1",,"72",,,"39.8",
"Yean, Eddy",678868,"R",,"65.5",,"76.8",,,"16.1",,
"Funderburk, Kody",681892,"L",,"75.8","64.1","80.2",,,"31.8","62.7",
"Hader, Josh",623352,"L",,"99.5",,,,,"12.6",,
"Nance, Tommy",667297,"R",,"88.6",,,,"77.1","17.4",,
"Burnes, Corbin",669203,"R",,"80.9","70.3","86.6",,"70",,,
"Raley, Brooks",548384,"L",,"72.6","36.5","83.2",,,,"55.5",
"Trivino III, Lou",642152,"R",,"90.8","65.1","99.3",,,,"61",
"Rogers, Taylor",573124,"L",,"91","38.3",,,,,"67.8",
"García, Luis",472610,"R",,"86.1",,,"81.9",,,"50.5",
"Pop, Zach",647315,"R",,"90.9","87",,,,"36",,
"Vargas, Carlos",672841,"R",,"68.9","45",,,,"33.1",,
"Ferrer, José A.",678606,"L",,"98",,"95.8",,,"16.8",,
"Svanson, Matt",694335,"R",,"82.9","33.6",,,,,"39.2",
"Borucki, Ryan",621366,"L",,"95","68.3",,"90.4",,"13.9","42.5",
"Sánchez, Cristopher",650911,"L",,"91.1",,"84.9",,,"31.9",,
"Jansen, Kenley",445276,"R",,"97.7","78.4",,,,"40.4",,
